age;gender;w2efftrst14;w2efftrst15;w2efftrst16;w2efftrst18;populism_sum;populism;w2eupan1;w2eupan2;w2eupan3;w2eupan4;w2eupan5;w2eupan6;w2eupan7;w2eupan8;w2eupan9;w2eupan10;nativism_sum;nativism;w5EUref1;w6EUref1;w7EUref1;w10EUref1
32;0;4;4;4;3;15;3,75;4;3;3;4;5;1;4;1;3;1;29;2,9;;;;
41;1;;;;;;;;;;;;;;;;;;;1;1;1;
55;0;3;3;4;4;14;3,5;2;3;2;3;4;2;3;2;2;2;25;2,5;1;1;1;1
62;0;;;;;;;;;;;;;;;;;;;3;3;3;3
62;1;1;2;2;5;10;2,5;5;1;3;3;3;1;2;3;5;1;27;2,7;3;3;3;3
53;1;;;;;;;;;;;;;;;;;;;3;3;3;
80;0;;;;;;;;;;;;;;;;;;;2;2;2;2
54;1;;;;;;;;;;;;;;;;;;;3;3;3;3
67;0;5;4;5;5;19;4,75;5;5;5;5;5;5;5;5;5;5;50;5;3;3;3;
55;1;;;;;;;;;;;;;;;;;;;1;1;1;1
60;0;3;3;3;3;12;3;3;2;3;2;4;2;3;2;3;2;26;2,6;1;1;1;1
37;1;;;;;;;;;;;;;;;;;;;1;;;
78;0;;;;;;;;;;;;;;;;;;;3;3;3;3
65;0;;;;;;;;;;;;;;;;;;;1;1;1;1
57;0;;;;;;;;;;;;;;;;;;;3;3;3;3
78;1;;;;;;;;;;;;;;;;;;;1;1;1;
51;1;;;;;;;;;;;;;;;;;;;3;3;3;
56;0;;;;;;;;;;;;;;;;;;;3;3;3;
68;0;;;;;;;;;;;;;;;;;;;3;3;3;3
59;1;;;;;;;;;;;;;;;;;;;3;3;3;3
55;0;;;;;;;;;;;;;;;;;;;3;3;3;3
52;1;;;;;;;;;;;;;;;;;;;1;1;1;
63;1;;;;;;;;;;;;;;;;;;;2;2;2;1
57;0;;;;;;;;;;;;;;;;;;;3;;;
72;0;;;;;;;;;;;;;;;;;;;;;;
76;1;5;5;5;5;20;5;5;5;5;5;5;5;5;5;5;5;50;5;3;3;3;
68;1;;;;;;;;;;;;;;;;;;;3;3;3;3
51;0;;;;;;;;;;;;;;;;;;;1;1;;
47;0;4;5;5;5;19;4,75;1;2;2;3;4;1;3;1;3;1;21;2,1;1;1;1;1
58;1;4;5;5;5;19;4,75;2;3;4;4;5;4;3;4;4;4;37;3,7;3;3;3;3
70;0;;;;;;;;;;;;;;;;;;;3;3;3;
68;0;;;;;;;;;;;;;;;;;;;2;2;2;2
41;1;3;5;5;5;18;4,5;3;2;3;3;3;1;2;1;3;2;23;2,3;2;1;2;
29;1;;;;;;;;;;;;;;;;;;;1;;;
64;0;;;;;;;;;;;;;;;;;;;1;1;3;1
37;1;;;;;;;;;;;;;;;;;;;1;;;
47;0;;;;;;;;;;;;;;;;;;;1;3;3;3
80;0;;;;;;;;;;;;;;;;;;;3;3;3;3
70;1;;;;;;;;;;;;;;;;;;;1;1;1;1
50;1;;;;;;;;;;;;;;;;;;;;;;
47;1;3;3;3;3;12;3;5;3;5;4;5;2;4;3;4;3;38;3,8;;;;
27;1;5;5;5;5;20;5;2;2;4;4;4;2;4;2;3;4;31;3,1;;;;
31;1;;;;;;;;;;;;;;;;;;;3;3;3;
39;1;;;;;;;;;;;;;;;;;;;3;3;3;
34;1;2;3;3;3;11;2,75;1;1;1;1;4;1;3;1;1;1;15;1,5;;;;
33;0;;;;;;;;;;;;;;;;;;;;;;
78;0;;;;;;;;;;;;;;;;;;;1;1;1;1
47;0;;;;;;;;;;;;;;;;;;;3;3;3;3
62;0;;;;;;;;;;;;;;;;;;;2;3;2;3
48;1;;;;;;;;;;;;;;;;;;;1;1;1;1
62;1;;;;;;;;;;;;;;;;;;;1;2;2;
32;1;;;;;;;;;;;;;;;;;;;1;1;1;
