V101,veto_app,rep,dem,ind,pres_app,cong_app,ed,ideol,weight,pres_cong_diff,cong_rate,cong_rate2,house_know,senate_know,chamber_know,news_int,pres_bin,cong_bin,col_grad
302937443,2,0,1,0,4,2,3,2,0.630387685,2,1,1,1,0,1,4,1,0,0
303064224,2,0,1,0,4,2,3,1,0.596157286,2,1,1,1,1,2,3,1,0,0
303167468,1,0,1,0,4,3,4,1,1.07205132,1,1,2,0,0,0,3,1,1,0
303175579,2,0,1,0,3,3,6,0,0.449924755,0,1,2,0,0,0,2,1,1,1
303181659,2,0,1,0,4,1,5,1,0.753725657,3,1,1,1,1,2,4,1,0,1
303193020,2,0,1,0,3,4,3,NA,4.143871686,-1,1,2,1,0,1,4,1,1,0
303254364,0,0,1,0,4,2,5,1,0.50170546,2,1,1,0,0,0,3,1,0,1
303259842,2,0,1,0,3,3,5,-2,1.05408559,0,1,2,0,0,0,4,1,1,1
303288666,-2,0,1,0,4,2,3,-1,1.7661567,2,1,1,0,0,0,3,1,0,0
303296435,2,0,1,0,3,3,6,1,0.879996552,0,1,2,0,0,0,4,1,1,1
303323291,2,0,1,0,3,3,6,1,0.259929241,0,1,2,1,1,2,3,1,1,1
303332374,1,0,1,0,4,3,2,0,0.414429505,1,1,2,0,0,0,2,1,1,0
303345161,-1,0,1,0,1,3,2,-1,0.557167503,-2,1,2,0,0,0,3,0,1,0
303440454,0,0,1,0,3,3,4,1,1.025905237,0,1,2,1,1,2,3,1,1,0
303460390,2,0,1,0,4,4,4,0,2.934083462,0,1,2,1,1,2,4,1,1,0
303577565,2,0,1,0,3,3,5,1,0.340633294,0,1,2,0,0,0,1,1,1,1
303612877,2,0,1,0,4,4,3,1,0.991987833,0,1,2,1,1,2,4,1,1,0
303616276,0,0,1,0,4,NA,2,NA,0.190100418,NA,0,0,0,0,0,NA,1,NA,0
303619912,1,0,1,0,3,3,6,1,0.97346265,0,1,2,0,1,1,4,1,1,1
303629721,2,0,1,0,4,1,6,2,0.416902998,3,1,1,1,1,2,4,1,0,1
303632097,1,0,1,0,3,3,6,1,0.965519963,0,1,2,1,1,2,4,1,1,1
303649799,1,0,1,0,4,1,4,2,0.630387685,3,1,1,1,1,2,4,1,0,0
303669190,1,0,1,0,4,NA,2,-1,1.220448867,NA,0,0,0,0,0,1,1,NA,0
303704053,0,0,1,0,4,1,2,NA,0.832814159,3,1,1,1,1,2,4,1,0,0
303706564,1,0,1,0,3,3,3,-1,4.685700015,0,1,2,1,0,1,3,1,1,0
303740911,NA,0,1,0,3,NA,3,2,1.664658205,NA,0,0,0,0,0,1,1,NA,0
303786327,2,0,1,0,4,3,3,1,1.07205132,1,1,2,1,0,1,3,1,1,0
303836014,0,0,1,0,4,2,5,0,1.658725424,2,1,1,1,1,2,4,1,0,1
304087162,2,0,1,0,4,2,2,2,2.323515911,2,1,1,1,1,2,3,1,0,0
304239401,0,0,1,0,4,NA,2,0,0.33339479,NA,0,0,0,0,0,NA,1,NA,0
304375392,0,0,1,0,4,1,2,NA,0.189406622,3,1,1,1,1,2,3,1,0,0
304375718,1,0,1,0,3,2,2,0,0.409997397,1,1,1,0,0,0,3,1,0,0
304467809,2,0,1,0,4,4,2,1,1.865073311,0,1,2,1,1,2,4,1,1,0
304675094,2,0,1,0,3,1,6,2,0.613567902,2,1,1,1,1,2,4,1,0,1
305009759,1,0,1,0,4,3,4,1,0.234518091,1,1,2,0,0,0,NA,1,1,0
305116666,1,0,1,0,2,3,4,1,0.892573158,-1,1,2,0,1,1,3,0,1,0
305277439,0,0,1,0,4,NA,2,1,3.397660466,NA,0,0,0,0,0,3,1,NA,0
